portfolio,model_type,factor_model,sample_start,sample_end,number_of_portfolios,number_of_observations,n_obs,log_likelihood,AIC,BIC,sigma_v,sigma_u,lambda,converged,runtime_seconds,pipeline_runtime_seconds,residual_mean,residual_std,residual_skewness,residual_kurtosis,jarque_bera_p_value
BIG HiBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2332.575344797436,-4653.150689594872,-4622.645331062285,0.03424665125245385,0.00016519354093940633,0.00482364070348542,True,0.6165636000005179,182.09180029999698,8.419530477607204e-07,0.034261057518664394,1.1297997983865633,14.831104656015913,0.0
BIG LoBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3664.0016931745554,-7316.003386349111,-7285.498027816523,0.011218237598560336,0.00012344103259662582,0.01100360297347128,True,0.6848312000001897,182.09180029999698,5.305981809461304e-07,0.011222735776056942,0.38776380603237043,1.8298311632074142,7.62496054897384e-43
ME1 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2130.5262534073813,-4249.052506814763,-4218.547148282175,0.04056703260706333,0.000194606431190271,0.004797157166392966,True,0.5391309000042384,182.09180029999698,1.4614264124799117e-06,0.04058390842949629,1.5142726630458032,21.635295989350578,0.0
ME1 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2513.161215859531,-5014.322431719062,-4983.817073186474,0.029436536000735383,0.000133532249443639,0.004536275920519422,True,0.5236540999976569,182.09180029999698,4.722214876155134e-07,0.02944838643051927,2.227977863366514,20.78686918833732,0.0
ME1 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2858.8817135952545,-5705.763427190509,-5675.258068657921,0.022030295384716733,0.00010923283379821193,0.004958300916563786,True,0.6132581999991089,182.09180029999698,5.260577032977321e-07,0.02203973154729727,2.0807727269205434,31.35886407970846,0.0
ME2 BM1,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2764.359749570155,-5516.71949914031,-5486.214140607723,0.021883778125219654,0.01574586004668947,0.719522011080133,True,0.3628035000001546,182.09180029999698,-1.1569859582387894e-07,0.02011734152739787,0.6076271998346967,6.471596352989813,0.0
ME2 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3023.742818331873,-6035.485636663746,-6004.980278131158,0.01918745590024926,0.00017844918734301736,0.009300304754873687,True,0.5172004000050947,182.09180029999698,6.905612752371805e-07,0.019194695872022723,1.0565454972465567,11.914158497495709,0.0
ME2 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3068.229167311961,-6124.458334623922,-6093.952976091335,0.01848380777696808,0.0001538189610697618,0.008321822155142152,True,0.6962655000024824,182.09180029999698,4.570121837863056e-07,0.01849223175003696,0.7429767509484146,16.607760887736635,0.0
ME2 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3215.340211072369,-6418.680422144738,-6388.175063612151,0.016340570596490567,0.0001020119778520747,0.006242865097622945,True,0.6708220000000438,182.09180029999698,3.518502047977984e-07,0.016347089792883098,1.6806034962360454,19.18796085955776,0.0
ME2 BM5,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3041.6027826519976,-6071.205565303995,-6040.7002067714075,0.018403485007323,0.007144994483914893,0.388241383687481,True,0.4861492000054568,182.09180029999698,1.8931999629534262e-08,0.017928615466132343,0.4977343389461993,9.995232080069714,0.0
ME3 BM1,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2983.229413551927,-5954.458827103854,-5923.953468571266,0.01984963989951978,0.00012885213264085478,0.006491409078104842,True,0.7194413999968674,182.09180029999698,3.0527237209229854e-07,0.01985804752047491,1.6480568699488316,20.50233964057085,0.0
ME3 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3155.562209950399,-6299.124419900798,-6268.61906136821,0.01717924814149627,0.00017867683130316,0.010400736390294534,True,0.7065475000053993,182.09180029999698,6.043783538438101e-07,0.017186635168262427,0.6519452285133326,5.362910532721195,0.0
ME3 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3131.413813683367,-6250.827627366734,-6220.322268834147,0.017531486496924573,0.00019540909220803123,0.011146179318126304,True,0.8140640999990865,182.09180029999698,7.958999741583179e-07,0.01753796481260731,0.4233691683919441,7.49748177131641,0.0
ME3 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3119.146463793722,-6226.292927587444,-6195.787569054856,0.016175666082741545,0.011998583157359015,0.7417674855541668,True,0.36983039999904577,182.09180029999698,-2.9496481753932316e-08,0.014799332064938605,0.5532292166226946,5.297003478345221,0.0
ME3 BM5,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2801.9253600638167,-5591.850720127633,-5561.345361595046,0.02310786377460137,0.00015570278032516814,0.006738086300141093,True,0.5298588000005111,182.09180029999698,4.6734238769102174e-07,0.02311730290080217,1.6047306751907688,16.94898974833066,0.0
ME4 BM1,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3211.6224506864833,-6411.2449013729665,-6380.739542840379,0.01639166889517764,0.00016153163505574193,0.009854495969184923,True,0.6219972000035341,182.09180029999698,1.5177013944014248e-07,0.016397765693420094,0.6337609886365946,4.739177557608725,6.415405628567234e-258
ME4 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3175.8553723473183,-6339.710744694637,-6309.205386162049,0.016890622978930903,0.00017613616591984586,0.010428044373470141,True,0.5651794999939739,182.09180029999698,9.057801665317377e-07,0.016896756167333313,0.7321445604378286,6.692184224051413,0.0
ME4 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3080.5452083944656,-6149.090416788931,-6118.5850582563435,0.017608451169710364,0.008223750484643572,0.46703428969322813,True,0.4629110000023502,182.09180029999698,-2.9524959748087202e-08,0.01695977160153737,0.37071333122438116,4.875253472657777,1.57643375424856e-260
ME4 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2981.5808437259075,-5951.161687451815,-5920.656328919227,0.019876719870562703,0.00017639671509058334,0.008874538467075031,True,0.6858255000042845,182.09180029999698,1.0405130982061654e-06,0.01988524293657958,0.5060312861935256,5.786251839861297,0.0
ME4 BM5,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2679.379420137487,-5346.758840274974,-5316.253481742387,0.02560769635720875,0.0003500392111542835,0.013669297162520633,True,0.7197811000005458,182.09180029999698,3.542301872969756e-07,0.02561686212275546,0.2383419545453127,3.517322716015693,3.23532030185181e-135
ME5 BM2,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3391.461788057921,-6770.923576115842,-6740.418217583254,0.01409804014769263,0.0002046885890635609,0.014518939293633766,True,0.6567747000008239,182.09180029999698,7.971810331450189e-07,0.01410258798770605,0.26929197404260885,1.730295012578388,1.039930057858666e-35
ME5 BM3,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3158.0043306103144,-6304.008661220629,-6273.503302688041,0.015022750739698184,0.013769653142505348,0.9165866745108484,True,0.3211728000023868,182.09180029999698,4.538233352329594e-09,0.013207023794543988,0.5462830004693984,3.638801851831385,6.4873438407872854e-155
ME5 BM4,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,3099.947114315141,-6187.894228630282,-6157.388870097694,0.015531043037305757,0.015196441308238133,0.9784559396130764,True,0.37258469999505905,182.09180029999698,-2.7525134320217446e-09,0.01346127078817953,0.8050462186516774,6.318775642948097,0.0
SMALL HiBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,2736.015262124522,-5460.030524249044,-5429.525165716456,0.02442076184591749,0.00013294783056908078,0.005444049264634476,True,0.5319694999998319,182.09180029999698,1.822025940527249e-06,0.024430551578125355,2.9521814812439926,32.49262836336509,0.0
SMALL LoBM,half_normal,ff3,1926-07-31 23:59:59.999999,2025-11-30 23:59:59.999999,25,29825,1193,1496.0222072701679,-2980.0444145403358,-2949.539056007748,0.06904876262796288,0.00020013583540965218,0.002898470990537383,True,0.4889316999979201,182.09180029999698,-7.906739518970149e-07,0.06907775902468136,3.4580502123987014,53.903164645327074,0.0
